zipcode,average_price
1017RS,150.0
1073VA,807.0
1071XH,132.5
1079GX,89.0
1072JN,90.0
1016LD,100.0
1095AV,75.0
1055JC,95.0
1054NL,110.0
1021JK,75.0
1051XR,94.0
1011JX,145.0
1058VS,99.0
1098NP,140.0
1096DM,55.0
1065TC,220.0
1016VM,125.0
1091HK,70.0
1098JP,110.0
1073TM,98.0
1055GM,505.0
1017WE,122.5
1017WD,143.0
1064AA,578.93
1087BB,104.0
1095AX,150.0
1013WD,75.0
1058GK,99.0
1053WV,135.0
1078PJ,100.0
1054VG,107.5
1018WE,140.0
1051EP,97.5
1013JC,180.0
1073JE,85.0
1057GV,98.0
1015HW,84.5
1092BP,95.0
1057KA,195.0
1055BS,200.0
1074XE,150.0
1015KE,125.0
1091ZB,105.0
1057WD,105.0
1075SH,80.0
1091NG,95.0
1071WZ,149.0
1015KN,114.33
1071XK,125.0
1015SC,149.0
1073EB,461.5
1091SJ,104.5
1015GB,150.0
1073SK,190.0
1053GM,107.5
1051BZ,790.0
1075VJ,149.0
1091MZ,95.0
1074CN,110.0
1051GZ,90.0
1058KR,85.0
1081GG,924.5
1079HJ,145.0
1078AJ,637.5
1073BA,199.0
1016AN,534.5
1058LJ,152.5
1017JX,300.0
1013NN,187.0
1054XB,159.0
1061MH,69.0
1097EV,300.0
1075CA,86.0
1073CH,89.0
1021CT,110.0
1075SB,91.5
1055VZ,100.0
1078AK,169.0
1102XM,70.0
1054WT,308.5
1056EN,75.0
1061MJ,1134.88
1092GG,120.0
1074SP,150.0
1081GN,70.0
1055EK,100.0
1015NR,142.5
1016HZ,200.0
1012ES,217.5
1051LC,110.0
1012PX,200.0
1015DW,144.0
1055AB,455.34
